Id,Category,Title,Description
1010,3,U.S. Job Gains Strongest in Seven Months," WASHINGTON (Reuters) - New U.S. jobs soared at the sharpest  rate in seven months in October, the government reported on  Friday, helped by a surge in construction activity as  hurricane-battered areas in the Southeast were rebuilt."
1011,1,Bush's National Guard File Missing Records,"WASHINGTON - Documents that should have been written to explain gaps in President Bush's Texas Air National Guard service are missing from the military records released about his service in 1972 and 1973, according to regulations and outside experts.    For example, Air National Guard regulations at the time required commanders to write an investigative report for the Air Force when Bush missed his annual medical exam in 1972..."
1012,3,Anthem-WellPoint deal OKd,"Insurance Commissioner John Garamendi dropped his objection to Anthem Inc. #39;s purchase of WellPoint Health Networks Inc. after the companies agreed to spend \$265 million, more than double their previous commitment "
1013,2,New Jersey Nets Team Report - November 11,"(Sports Network) - The New Jersey Nets were defeated by the Philadelphia 76ers, 108-100, in overtime on Wednesday at the Wachovia Center."
1014,4,'Sustainable relief' is way ahead,The World Urban Forum hears a call for governments to think beyond merely recovering from natural disasters.
1015,4,"Sprint, Nextel Join in  #36;35 Billion Deal (AP)",AP - Telecommunications giant Sprint Corp. is acquiring Nextel Communications Inc. in a  #36;35 billion deal that would create the nation's third largest wireless telephone service provider.
1016,1,British hostage pleads for life,"Facing a death threat from his Iraqi captors, British hostage Kenneth Bigley appeared in a video on an Islamist Web site Wednesday and tearfully pleaded to British Prime Minister Tony Blair to help spare his life, saying,  quot;Please "
1017,2,Butcher hails  #39;barrier #39; Klos,"TERRY Butcher, the Motherwell manager, last night drew comparisons between Rangers goalkeeper Stefan Klos and his record-breaking former Ibrox team-mate Chris Woods after the German defied his side at Fir Park."
1018,1,"Investors to Weigh Sell-Off, Earnings","NEW YORK - Investors on Thursday will weigh the sharp retraction in stocks the day before as well as fears that the corporate profit picture is deteriorating.    Dow Jones futures fell 4 points recently, while Nasdaq futures were down 3 points and S P futures dropped 0.20 points..."
1019,1,A Sunni commission issues a Fatwa to release French journalists,A-Arshiad and Dawa ( Guidance and call) commission has issued a Fatwa demanding the kidnappers of the French journalists be released immediately and not to be harmed.
1020,3,Icelandair Buys 8.4 Pct. Stake in EasyJet,"Icelandair Group said Friday it had bought an 8.4 percent stake in budget airline easyJet PLC, whose share price has soared during two days of hectic trading."
1021,4,Free gin for UK juniper spotters,The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.
1022,4,Net calls get their own area code,The telecoms watchdog Ofcom is considering how to regulate firms that let you make calls via the net.
1023,2,Izenberg: American style of basketball can #39;t cut it on foreign &lt;b&gt;...&lt;/b&gt;,They were lucky to get the bronze. They came with one of the finest big men in all of basketball -- but with nobody to back him up.
1024,2,Kovalev heading home,Movement continues to take place among NHL players -- but it's not toward North American teams nor arenas.
1025,2,F-16 fighter jet attacks school,A NATIONAL Guard F-16 fighter jet on a night training mission has turned its guns on an elementary school and strafed it with 25 rounds of ammunition.
1026,2,Busch wins NASCAR pole in Darlington,"DARLINGTON, South Carolina (Ticker) - With so much emphasis being placed on NASCAR #39;s  quot;Chase for the Championship, quot; it won #39;t be hard to keep track of those 10 drivers in Sunday #39;s Southern 500."
1027,4,Group Cites E-Voting Problems,"The record use of electronic voting machines on Nov. 2 led to hundreds of voting irregularities and shows the need for higher standards, a voting rights group said Thursday."
1028,4,"NHS ties up 330million, 900,000 staff, nine-year deal with &lt;b&gt;...&lt;/b&gt;",The NHShas reached a landmark agreement with Microsoft on the renewal of the licensing of its desktop products in line with the Office of Government Commerce #39;s framework agreement with Microsoft.
1029,3,Parmalat Sues Ex-Auditors in Chicago," MILAN (Reuters) - Parmalat sued its former auditors  Deloitte   Touche and Grant Thornton on Wednesday, broadening a  legal battle to claw back billions of euros from ex-allies the  food group says helped drive it into insolvency."
1030,4,GBA SP invades China,"Nintendo and iQue to release Game Boy Advance SP later this month in 21 different cities in China. TOKYO--Nintendo has announced that it will launch the Game Boy Advance SP in China on October 27, Bloomberg Japan reports today."
1031,2,4-shot lead for Kerr,"Cristie Kerr shot her second straight 9-under-par 63 yesterday to take a four-stroke lead into the final round of the State Farm Classic in Springfield, Ill."
1032,2,Safin survives first-round scare in Moscow,Top seed Marat Safin survived a first-round scare before prevailing over his doubles partner Max Mirnyi 6-7 7-6 7-6 in the Kremlin Cup on Monday.
1033,2,"FOOTBALL: DO THE MATHS, THIS IS A TITMUSS-T WIN GAME FOR US, BOSS","WHEN Berti Vogts hands Abi Titmuss her morning muesli, I hope the old terrier has a grin from ear to ear. But I #39;d rather the Scotland boss racked up points on the table than notches on the headboard."
1034,4,Profits Fading in Digital Camera Industry (Reuters),"Reuters - Bloated with inventory and mired in the\red, the digital camera business of Japan's Olympus Corp.\underscores how making money in the cut-throat market is\getting tougher."
1035,2,St. Louis Cardinals Team Report - September 3,"(Sports Network) - A possible National League Division Series preview will take center stage this evening in St. Louis, as the MLB-best Cardinals host the Los Angeles Dodgers for the opener of a their three-game set at Busch Stadium."
1036,4,Nanotechnology-Based Products Have Impact (AP),"AP - For a science that's about manipulating substances at the molecular level, nanotechnology is starting to bring big profits to many consumer product makers."
1037,3,Shrinking Coverage," Employer-paid health care for retired workers has been growing sharply more expensive, and the number of companies willing to provide it continues to shrink."
1038,2,Notre Dame Planning to Meet With Meyer,"Wasting little time in its search for a new football coach, Notre Dame will meet with Utah Coach Urban Meyer on Thursday."
1039,2,Expos #39; move to DC appears imminent,"Signaling for the first time publicly that he might be persuaded to drop his opposition to a team in Washington, DC, Orioles owner Peter Angelos said he could go along if a deal is struck to protect his franchise and Maryland #39;s investment in Oriole Park "
1040,1,"After 68 weeks, inflation returns to HK","HONG KONG, AUGUST 25 : After years of steadily falling prices that dragged down salaries and destroyed the value of many apartments, inflation has finally returned here, government statisticians announced early this week."
1041,1,Liverpool legend Emlyn Hughes dies (AFP),AFP - Former England and Liverpool captain Emlyn Hughes has died from a brain tumour aged 57.
1042,4,Detect and Block IM  for Free,Businesses that think their employees aren #39;t using IM or some type of peer-to-peer file sharing application may be living in ignorant bliss.
1043,4,Gene tweaking creates a mighty mouse,"Altering a single gene can turn ordinary mice into marathon racers that can run for hours and eat huge amounts of food without getting fat, researchers say."
1044,1,Bulger mother 'sees son's killer',The mother of murdered toddler James Bulger has reportedly tracked down one of her son's killers and plans to find the second.
1045,3,Retailers Seen Posting Modest Nov. Sales (Reuters),"Reuters - U.S. retailers are expected to post\modest November sales this week, with No. 1 retailer Wal-Mart\Stores Inc. already cutting its holiday outlook on high oil\prices and warmer weather."
1046,3,Indian economy to grow at 7: FM,"Speaking at the India Economic Summit in New Delhi, Finance Minister P Chidambaram said that the Indian economy will grow at 7 annually, for the next ten years, reports CNBC-TV18."
1047,3,Bush hands firms \$140bn in tax breaks,US president George W Bush had repealed an internationally disputed export tax subsidy but lavished \$140 billion (R868 billion) in new tax breaks on corporations.
1048,1,Bush Pushes for Social Security Overhaul (AP),"AP - President Bush made a fresh push Saturday for a new Social Security plan in which Americans would be allowed to channel a small portion of their income into ""personal savings accounts,"" warning that inaction could end the retirement system."
1049,3,Disney #39;s Eisner Defends Ovitz Hire,Walt Disney Co. chief executive Michael D. Eisner had been on the witness stand for about half an hour on Monday when the subject of former Disney president Michael S. Ovitz finally came up.
1050,1,Western Leaders Criticize Putin,More than 100 American and European foreign policy experts signed a letter protesting against Russian President Vladimir Putin #39;s leadership.
1051,1,Russia Rejects U.S. Criticism; EU Joins Fray," ASTANA, Kazakhstan (Reuters) - Russia curtly told the  United States to stay out of its business Wednesday after U.S.  criticism, echoed by the European Union, of President Vladimir  Putin's plans for radical change that will boost Kremlin power."
1052,3,"Oil Rises to Record on Reduced Gulf of Mexico Output, Imports",Crude oil in New York rose to a record \$53.80 a barrel after the US said some production shutdowns in the Gulf of Mexico caused by Hurricane Ivan may last as long as six months.
1053,4,Why YAML?  Why not?,"I started a simple project a while back; all I needed to do was store some information about stuff around the office, and since it's a small office, I thought that a RDBMS system was overkill.  So I decided to go with XML.  After creating a document, I then decided to fight with XML DTDs, and tried to fight with both XML DOM and XML SAX for Python, I finally decided on an approach that built dictionaries using SAX, as described here.    After messing with it for a while, I decided there had to be a better way.  Almost by accident, I stumbled upon YAML."
1054,3,Retailers Post Mediocre Holiday Sales,"Lucinda Antal, of Liverpool, England, right, tests lipstick shades on her hand at the Face store in New York Sunday Nov. 28, 2004, assissted by salesperson David Kalahiki."
1055,1,Blast at Paris Indonesian embassy,"PARIS, France -- An explosion outside the Indonesian Embassy in Paris has wounded nine people, a fire commander has said. The cause of the blast early Friday morning is unclear but French radio station Europe "
1056,2,Arsenal v Rosenborg - Player Ratings,"Goal (Arsenal) (4) - Just what we needed early on. The nerves were removed, and we just kept on moving forward. A sweet ball from Bobby set Reyes up with a chance to run."
1057,1,Clinton to Democrats: Discuss Convictions (AP),"AP - Former President Clinton, noting an ""astonishing turnout among evangelical Christians"" in this year's election, warned Tuesday that Democrats ""cannot be nationally competitive when we don't feel comfortable talking about our convictions."""
1058,2,"Roger setting the standard, says Hewitt","New York: Lleyton Hewitt is getting frustrated meeting Roger Federer in the major events. For the third time in four Grand Slams this year, the Swiss got the better of Hewitt."
1059,2,Shearer stars at both ends,London - Andy O #39;Brien #39;s own goal cancelled out Craig Bellamy #39;s first half strike as Newcastle was held 1-1 by Charlton on Sunday and failed to capture fourth spot in the Premier League.
1060,4,Google Sets Price of  #36;85 in  #36;1.67 Bln IPO (Reuters),"Reuters - Google Inc. on Wednesday\said it priced its long-awaited initial public offering at  #36;85\per share, far below initial expectations, ending a tumultuous\process beset by poor market conditions and a series of\missteps."
1061,4,The full horror of Ed Wood must be seen to be believed (USATODAY.com),"USATODAY.com - Tim Burton's Ed Wood, which earned Martin Landau an Oscar for playing Bela Lugosi, is finally out an DVD today. But what about the real-life oeuvre of writer/director/auteur Edward D. Wood Jr. (1924-1978)?"
1062,4,Networks in a Duel of Technology,"Some television networks are racing to develop eye-catching score boxes. Fox, for example, now has fire coming out of its baseball scores."
1063,4,"Hi, I'm Your Car. Don't Let Me Distract You.","Automakers are pitching hands-free technology as a safe way to rein in the expanding clutter of gadgetry, but these devices are probably not as safe as you think."
1064,4,Microsoft launches desktop rival to Google,The battle for search-technology supremacy extended to new front today when Microsoft launched a tool for finding files stored on personal computers.
1065,4,Ofek 6 Launch Fails,"(IsraelNN.com) An attempted launch of the Ofek 6 surveillance satellite by Israel today was unsuccessful officials report, apparently due to technical malfunction."
1066,4,Hidden Costs of Online CRM - Part 2 (NewsFactor),"NewsFactor - Its cost is low, it delivers enterprise-level functionality, and it spares a company the ordeal of a time-consuming implementation project."
1067,3,Sagging Dollar Hits New Low Against Euro,"A stock trader reacts at the Frankfurt stock market, Germany, Wednesday, Nov 17, 2004. The German stock index DAX reached this year #39;s highest level on the same day the US dollar dropped to a new all-time low "
1068,2,Transactions,"BASEBALL Chicago (AL): Assigned Ps Enemencio Pacheco, David Sanders, and Josh Stewart outright to Charlotte (IL). Chicago (NL): Fined OF Sammy Sosa \$87,400 for arriving late and leaving early for regular-season finale Oct. 3. Cincinnati (NL): Announced 1B Jacob Cruz declined an outright assignment and elected free agency. San Diego (NL): Released P Jay Witasick; assigned OF Kerry Robinson, and ..."
1069,3,Stocks Shoot Higher as Oil Slumps," NEW YORK (Reuters) - U.S. stocks shot higher on Wednesday  as oil prices tumbled by more than \$3 a barrel, easing worries  about the impact high energy costs have on corporate profits  and consumer spending."
1070,2,How We Saw Week 4,"In improving to 3-0, the New England Patriots tied the NFL record for consecutive victories with 18. They gained almost 400 total yards, got the key plays when they needed them and beat former Patriot Drew "
1071,4,Driving hard into the future of TV,"THERE is never a right time to buy technology. Something cheaper, faster and better specified will be on the market before you have even got your product out of its box."
1072,1,Chances of New U.S.-EU Aircraft Pact Dwindling -EU," WASHINGTON (Reuters) - The United States and the European  Union are unlikely to reach agreement on a new civil aircraft  pact, a European Union official said on Thursday, increasing  chances the two sides could fight out the issue at the World  Trade Organization."
1073,1,Indian bandit 'killed by police',"Indian police say they have shot dead one of the country's most wanted men, the bandit Veerappan."
1074,4,Novell to defend open source software with patents,"Novell is prepared to use its portfolio of US software patents to protect against patent lawsuits the open source software it ships, the company said in statements posted to the Novell."
1075,4,Fat-reducing microwave unveiled,Eyeing up that juicy steak but worried about your waistline? Japanese electronics maker Sharp Corp. said it has developed a new fat-busting microwave oven that can melt some of your worries away.
1076,2,Four-in-row to Davenport,"AMERICAN Lindsay Davenport won her fourth consecutive title of the year today, beating second seed Vera Zvonareva 6-3 6-2 in the final of the Cincinnati Open."
1077,2,UPDATE 1-Open-Rejuvenated Haas reaches last eight,Germany #39;s Tommy Haas continued his resurgence with a 7-6 6-1 7-5 victory over Czech teenager Tomas Berdych on Tuesday to reach the quarter-finals of the US Open for the first time.
1078,2,KIWIS QUICKLY DISMISSED,"Australia reached 84 for one at tea, after bowling the New Zealanders out for 353 just three balls into the second session, on the second day of the First Test in Brisbane."
1079,1,Bomb Explosion in Nepal #39;s Capital Wounds 38,"A bomb tore through a government office in the Nepali capital on Tuesday, wounding at least 38 people in an attack police suspect was carried out by Maoist rebels."
1080,1,Colombian Soldiers Charged in Killings (AP),"AP - Colombia's vice president acknowledged he was wrong for suggesting that three slain union leaders were tied to Colombia's rebels, after prosecutors rejected the army's version of events and charged three soldiers in the killings."
1081,4,Consumption Of Resources Focus of Report,An environmental group says earth #39;s people are using up the planet faster than it can restore itself and the west is the chief culprit.
1082,4,Can Strep Bring On an Anxiety Disorder?,Scientists know so little about a disorder that links a strep infection with obsessive-compulsive disorder in children that some question whether it even exists.
1083,1,White House on Defensive After Bremer Talk,"WASHINGTON - The White House staunchly defended its Iraq policy Tuesday as new questions emerged about President Bush's prewar decisions and postwar planning: An impending weapons report undercut the administration's main rationale for the war, and the former head of the American occupation said the United States had too few troops in Iraq after the invasion.    Four weeks before Election Day, Democrat John Kerry pounced on the acknowledgment by former Iraq administrator Paul Bremer that the United States had ""paid a big price"" for insufficient troop levels..."
1084,2,RAIDERS NOTEBOOK Williams to take Grant #39;s LB slot again,"DeLawrence Grant, the one-time defensive end who started the first nine games at linebacker before being benched against the Chargers on Sunday, is likely to be inactive again this weekend against the Broncos."
1085,1,Berlusconi Ally Sentenced to 9 Years in Mafia Trial (Reuters),"Reuters - An Italian court found a close\political ally and business associate of Prime Minister Silvio\Berlusconi guilty of colluding with the Mafia, and sentenced\him on Saturday to nine years in prison."
1086,4,News: Appeals court slams garage door DMCA claim,"In refusing to outlaw a universal garage door opener, judges rule that a device has to facilitate copyright infringement to fall under the ambit of the DMCA.  \"
1087,3,US Stocks Boosted by Oil #39;s Fall,"US blue chips recovered ground on Friday after a fall in oil prices offset a profit warning from aluminum maker Alcoa Inc. (AA.N: Quote, Profile, Research) , while a tech "
1088,1,Detainee release lends dignity to Myanmar,"YANGON: The release of thousands of prisoners including top dissidents in military-run Myanmar lends dignity to the nation, the main opposition party said on Saturday as it praised those freed for their struggle for democracy."
1089,2,Longhorns Hope to Bypass Holiday Bowl (AP),"AP - When Colorado coach Gary Barnett looks at the Texas roster or watches the Longhorns on tape, he comes to a simple conclusion. ""They sure have a pretty team,"" he said. He means pretty, as in big, fast and talented. It's exactly the kind of team they should have at a school as renowned as Texas, which is why it's hard to understand how the Longhorns (6-1, 3-1 Big 12) keep winding up in the Holiday Bowl."
1090,4,Networkers' Crowding Achievement (washingtonpost.com),"washingtonpost.com - It was something of a back-to-school night for the crowd of entrepreneurs, marketing officers and venture funders who showed up in droves at the high-end networking club at Tysons Corner."
1091,4,A Common Language for Penguins,"In its campaign to discredit Linux, the main rival to its Windows operating system, Microsoft (MSFT ) once published a witty print advertisement in Germany that showed four penguins standing in a row."
1092,4,IBM Stock Is Rising in Pre-Market Trading (AP),"AP - International Business Machines Corp. stock rose in pre-market trading Tuesday, a day after the the company reported better than expected earnings for the third quarter."
1093,4,HP plans to slow Net worms,"Hewlett-Packard is working on software that it says could slow the spread of Internet-borne worms and viruses, AP reports. Researchers at the company say the new virus-throttling software would not destroy "
1094,1,Twelve Stabbed in Latest China School Attack," BEIJING (Reuters) - A man forced his way into a primary  school in northeast China Friday and stabbed and injured 12  grade-one pupils, the latest in a wave of recent school attacks  in China, Xinhua news agency said."
1095,1,Hobbled Sharon #39;s options limited despite vow to implement Gaza &lt;b&gt;...&lt;/b&gt;,"JERUSALEM Aug 20 - Humiliated by his own party and under pressure from the opposition to call new elections, Israeli Prime Minister Ariel Sharon appears in no position to ensure the implementation of his Gaza pullout plan."
1096,1,New York funeral for rapper ODB,"Friends, family and fans gather at a church in Harlem, New York, for the funeral of rapper ODB."
1097,4,"Enigma teams with DaimlerChrysler, T-Systems on parts and repair platform","DaimlerChrysler's new system, Xentry, will replace multiple applications with a single Web-based system that gives mechanics a real-time integrated view of parts, service diagnostic and corporate information."
1098,3,"Toymakers Disappoint, Warn on Holidays","The two top US toymakers posted disappointing third-quarter results on Monday, citing uncertainty in the economy and cautious retailers, and tempered expectations for the crucial holiday season."
1099,1,"Sudan deploys additional 2,000 policemen in Darfur","KHARTOUM, Aug. 17 (Xinhuanet) -- The Sudanese government said on Tuesday that it has deployed another 2,000 policemen in Darfur to secure the situation in the area under an agreement with the United Nations. "
1100,2,Risks on both sides seen in Kobe Bryant civil case,"EAGLE, Colo. -- In pressing on with her civil suit against NBA star Kobe Bryant, the woman accusing him of rape will not have to meet the higher standard of proof required in a criminal case."
1101,2,Champ ready for goodbye,"CHAMPION Makybe Diva, the dual Melbourne Cup hero, may have run her last race in Australia. Trainer Lee Freedman said yesterday he was pushing hard to campaign Makybe Diva in the northern hemisphere "
1102,2,Real rue missed opportunity against Leverkusen,Real Madrid were in rueful mood after missing out on securing a place in the last 16 of the Champions League after they were held to a 1-1 draw by Bayer Leverkusen at the Bernabeu.
1103,2,"No. 24 Villanova 69, Penn 44","Betsy McManus and Courtney Roantree each came off the bench to set career highs with 15 and 14 points, respectively, to lead No. 24 Villanova past Penn 69-44 Sunday."
1104,3,Slowdown seen in key industry,"Employment growth in Washington state #39;s biopharmaceutical industry is expected to slow in the next decade, according to a Milken Institute report that will be released today."
1105,4,Microsoft Fixes  #39;Critical #39; XP Firewall Issue,Microsoft has quietly released an update to Windows XP to fix a potentially serious configuration problem in the firewall that ships as part of Windows XP Service Pack 2. Users who installed SP2 on their Windows 
1106,3,Falling Dow hits markets,"SHARES are set for a bumpy ride after Wall Street lost ground on the weekend, derailed by weak US jobs data and a poor prognosis from Intel which sparked worries for the health of the tech sector."
1107,4,A New Script for Searching Texts Written by Hand,Search technology for images may lead to a way to search handwritten manuscripts.
1108,2,CRICKET: Pak in with chance to level series,Leg-spinner Danish Kaneria claimed six wickets today to effect a Sri Lankan batting collapse and put Pakistan in a strong position heading into the final day of the second cricket Test.
1109,2,Ljubicic advances,"MADRID, Oct. 22. - Ivan Ljubicic edged No. 7 seed Joachim Johansson in three tough sets on Friday to reach the semi-finals in the \$3 m Madrid Masters."
1110,2,"Red Sox Favored Over Yankees in Las Vegas, by Futures Traders","The Boston Red Sox, who haven #39;t won baseball #39;s World Series since 1918, are favored to beat the New York Yankees in the American League Championship Series by Las Vegas oddsmakers and futures traders."
1111,3,Lack of Pay Accord Extends Stoppages at Volkswagen (Update1),"Volkswagen AG, Europe #39;s biggest carmaker, faces production losses at its Wolfsburg headquarters after a sixth set of contract talks with union negotiators on cost cuts, job security and pay ended without agreement."
1112,3,Chinese boom pays off for BHP,"BHP Billiton has delivered the biggest profit ever achieved by an Australian company - a \$US3.38billion (\$4.73billion) whopper, up 78 per cent on last year. "
1113,4,"Linux, AOL tie up for security solutions","Leading distributor of Linux open source solutions to the enterprise Red Hat, Inc has entered into a definitive asset purchase agreement with America Online, Inc to acquire certain assets of Netscape Security Solutions."
1114,2,Pilkadaris loses Asian Masters play-off,Australian golfer Terry Pilkadaris has finished runner-up in the Masters of Asia tournament in the Malaysian capital Kuala Lumpur.
1115,3,China warns rising energy prices to lead to more inflation in 2005,"BEIJING : Rising energy and raw material prices are pressuring inflation and will push up the consumer price index next year, state press cited the country #39;s top statistician as saying."
1116,1,"Thirty-three dead, 61 missing after fire in five Chinese mines",BEIJING : Thirty-three miners were confirmed dead and 61 others were missing after a fire at five iron ore mines in northern China.
1117,1,Veteran British DJ John Peel Dies in Peru,"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Jude Webber and Kate Kelland&lt;/p&gt;&lt;p&gt; LIMA/LONDON (Reuters) - Veteran British disc jockey JohnPeel, who championed new music trends like punk on mainstreamradio, has died of a heart attack on holiday in Peru.&lt;/p&gt;"
1118,3,U.S. Stocks Fall on Inflation Fears, NEW YORK (Reuters) - U.S. stocks and bonds fell on Tuesday  as a jump in producer prices sparked worries about inflation  and aggressive interest-rate hikes.
1119,3,Stocks Ascend as Oil Eases and Techs Gain," NEW YORK (Reuters) -  U.S. stocks moved higher late on  Friday morning in a broad-based advance, as oil prices dipped,  shares of PeopleSoft Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PSFT.O target=/stocks/quickinfo/fullquote""&gt;PSFT.O&lt;/A&gt; boosted the tech-heavy  Nasdaq and data showed that factory activity stayed at a  healthy pace last month."
1120,1,Ohio Recount Resembles Florida in 2000 (AP),"AP - In a scene reminiscent of Florida circa 2000, two teams of Republican and Democratic election workers held punch-card ballots up to the light Wednesday and whispered back and forth as they tried to divine the voters' intent from a few hanging chads."
1121,1,Judge rules Bush statements pose no threat of jury taint,"FORT HOOD, Texas -- A military judge ruled yesterday that statements by President Bush and military leaders about alleged Abu Ghraib abuses do not appear specific enough to taint the jury pool for next month's trial of a reputed ringleader in the case."
1122,1,Bomb rocks market in violence-plagued southern Thailand,"A powerful bomb went off in Thailand #39;s Muslim-dominated deep south and seriously injured 20 people on Thursday morning, when the Thai Prime Minister Thaksin Shinawatra arrived in the violence-troubled region."
1123,1,Chirac 'snubs' Allawi at EU talks,"Iraqi interim leader Iyad Allawi is to meet EU leaders, but France's president says he is too busy to attend."
1124,3,"Crematory Operator Pleads Guilty To Corpse Abuse, Fraud",A former crematory operator in Georgia has pleaded guilty to dumping 334 bodies and giving the families cement dust instead of ashes.
1125,1,BA plane diverted after hoax,Dutch police have given the  quot;all-clear quot; to a British Airways flight from Berlin to London which was diverted to Amsterdam #39;s Schiphol airport with a Dutch fighter jet escort because of a bomb threat.
1126,1,Pakistanis ban religious meetings,Authorities here announced a nationwide ban on all political and religious meetings except Friday prayers after a car bombing early Thursday in the central city of Multan killed 40 people and wounded at least 100.
1127,3,Former Enron CEO Skilling Seeks to Move Trial,"Lawyers for former Enron Corp. chief executive Jeffrey Skilling asked a federal court to move his trial out of Houston, arguing in a filing on Monday that any jury in Enron #39;s hometown would be biased."
1128,1,Iran #39;s Revolutionary Guards getting a bigger appetite,They are the shock troops of Iran #39;s Islamic Revolution - the men who helped seize the US embassy a generation ago and bore the brunt of their country #39;s eight-year war with Iraq.
1129,4,Beyonce's Hair Is Worth Millions (AP),"AP - Beyonce reportedly makes up to  #36;4.7 million for just 10 days of work a year  #151; and that's just her hair. But she has to inform L'Oreal of ""any radical change to her hair any concert tour may necessitate"" and keep it in excellent condition, according to The Smoking Gun Web site, which has posted the contract between the singer and the cosmetic giant."
1130,3,"Charley May Cost Insurers \$7.4 Billion, Industry Says (Update1)","Aug. 18 (Bloomberg) -- Hurricane Charley will probably cost insurers \$7.4 billion, according to the first loss estimate based on insurance claims. "
1131,2,"No. 6 Notre Dame 60, USC 56","With the game on the line, Notre Dame turned to its senior leaders to help the sixth-ranked Fighting Irish avoid an upset by unranked Southern California."
1132,3,P and O cuts back Channel ferries in switch from shipping to ports,"LONDON : Peninsular and Oriental Steam Navigation Co (P and O) -- the ports, shipping and logistics group -- announced sweeping cuts to its ferry operations to refocus the business in the face of competition from low-cost airlines."
1133,1,Blair defends new exam proposals,Tony Blair talks to business leaders about new proposals for a major shake-up of the English exam system.
1134,4,HP's order system chaos to continue throughout August,&lt;strong&gt;HP World&lt;/strong&gt; SAP hell lingers
1135,2,Official: MLB to Move Expos to Washington (AP),"AP - Major League Baseball will announce Wednesday that Washington will be the new home of the Montreal Expos, bringing the national pastime back to the nation's capital for the first time in 33 years, The Associated Press has learned."
1136,3,US firm awarded extended contract for Antarctica work,"AUCKLAND, Oct 19 (AFP) - A company that supports the US science programme in Antarctica has been awarded a 546 million dollar extension to its contract, the US National Science Foundation (NSF) said in a statement Tuesday."
1137,1,Parliament Speaker Rues Sharon Policy,"Israeli Prime Minister Ariel Sharon, right, surrounded by an unprecedented number of bodyguards walks inside the Knesset, Israel #39;s parliament, in Jerusalem Wednesday Oct. 20, 2004."
1138,2,Liquor Ads Allowed,"NASCAR returns to its roots by lifting a ban on liquor ads on cars, opening the door for teams to be sponsored by distilled spirits."
1139,1,Putin lays wreath at Akhmad Kadyrov #39;s grave,"TSENTOROI, Chechnya. Aug 22 (Interfax) - Russian President Vladimir Putin arrived in the Chechen village of Tsentoroi on Sunday morning and laid a wreath at the grave of former Chechen president Akhmad Kadyrov."
1140,4,Ericsson awarded Chinese GSM network expansion deal worth US\$150M,Wireless equipment maker LM Ericsson said Monday it has received a contract worth about \$150 million US (122.4 million euros ) from Shandong Mobile Communication Co.
1141,2,McDonald #39;s salads break Olympic record,"US fastfood giant McDonald #39;s says that sales at its three restaurants around Olympic venues in Greece have so far exceeded its expectations, according to CRIENGLISH."
1142,3,Microsoft Stays Pricing Course,"By announcing plans to maintain its current per-processor server software licensing, Microsoft Corp. has pleased customers and, in the process, put serious pressure on competing software developers to do the same."
1143,3,Commodities power Goldman profit,"NEW YORK (CBS.MW) -- Goldman Sachs Group said Tuesday that its third-quarter net income rose as its fixed-income, currencies and commodities trading operation recorded sales that were nearly \$1 billion ahead of year-ago levels, driven by rising energy "
1144,4,HDS Targets Virtualization with TagmaStore,NEW YORKHitachi Data Systems Inc. unveiled Tuesday embedded virtualization layer technology that can aggregate up to 32 petabytes of internal and external storage into a single virtual storage pool and 
1145,2,Roddick to play in Davis Cup semifinals,Captain Patrick McEnroe announced Wednesday that Andy Roddick would be on the US Davis Cup team when it competes in the semifinals this month.
1146,4,"Verizon, Covad Reach Line-Sharing Pact",Verizon Communications Inc. on Tuesday said it reached an interim line-sharing agreement with Internet service provider Covad Communications Group Inc.
1147,4,Software2005: Open and Loosely Joined,"Applying logic might suggest to us that there #39;s zero-profit likely to be made in free software. On the surface, the open-source movement appears to defy basic economic principles."
1148,2,"Beck, Youzhny gain St. Petersburg final",Russia #39;s Mikhail Youzhny and Slovakia #39;s Karol Beck won three-set semifinals Saturday and will play for the St. Petersburg Open title.
1149,4,Linux Could Become A Big Force In The Weather-Forecasting Field (Investor's Business Daily),"Investor's Business Daily - The flock of hurricanes that hit Florida this season is putting more pressure on forecasters to provide fast, reliable information."
1150,2,Astros Stay Close,Roy Oswalt became the NL's first 19-game winner as the Astros stay close in the wild-card race with a 10-3 victory over St. Louis.
1151,2,Clemens Gets 323rd Victory As Astros Win (AP),AP - Roger Clemens won for the first time in almost a month  #151; the 323rd victory of his career  #151; and Carlos Beltran hit a three-run homer to lead the Houston Astros over the Philadelphia Phillies 8-4 Monday night.
1152,2,Hamilton keeps Olympic gold amid controversy,Earlier this week it emerged that Hamilton had failed two separate doping tests at the Athens Olympics and at this month #39;s Tour of Spain.
1153,1,Roadmap despite the K-roadblock,"NEW DELHI, SEPTEMBER 6: India and Pakistan today committed themselves to a slow but sustained process to keep the dialogue going, in which New Delhi for the first time accepted the viability of an overland gas pipeline through Pakistan, and Islamabad "
1154,1,Victory in Terror War Has Many Meanings (AP),"AP - The war on terror might eventually be won, depending on one's definition of winning."
1155,3,Call for vast Chinese power spend,"China needs to invest \$120bn (67bn) over the next five years to increase electricity supplies to meet demand, a leading Chinese official has said."
